# Make a gift redirects
makeagift.ucsf.edu	https://giving.ucsf.edu
makeagift.ucsf.edu/notes-and-words	https://www.notesandwords.org
makeagift.ucsf.edu/ballet	https://giving.ucsf.edu/fund/01t8Z00000BdU7LQAV
makeagift.ucsf.edu/firstgen	https://giving.ucsf.edu/fund/other?giftComments=Student Awards B7951)
makeagift.ucsf.edu/alexa	https://givingtogether.ucsf.edu/fundraiser/2035694
makeagift.ucsf.edu/ranking_test	https://together.ucsf.edu/
makeagift.ucsf.edu/rankings	https://together.ucsf.edu/
makeagift.ucsf.edu/stephaniemillward	https://giving.ucsf.edu/fund/other?tribute=2&tributeFullName=Stephanie Millward&giftComments=Neuroblastoma Research in memory of Stephanie Millward
makeagift.ucsf.edu/boot	https://giving.ucsf.edu/fund/other?giftComments=Give Breast Cancer The Boot (B7658)&appealCode=GBC18&donationType=monthly
makeagift.ucsf.edu/foundation2014	https://giving.ucsf.edu/fund/directors-priority-fund
makeagift.ucsf.edu/orthodontics	https://giving.ucsf.edu/fund/orthodontics-fund-for-excellence
makeagift.ucsf.edu/lungpatientfamilyfund	https://giving.ucsf.edu/
makeagift.ucsf.edu/heartpatientfamilyfund	https://giving.ucsf.edu/
makeagift.ucsf.edu/ronaldmiller	https://giving.ucsf.edu/fund/other?appealCode=ANT15
makeagift.ucsf.edu/globalhealthcore	https://giving.ucsf.edu/fund/heal-initiative
makeagift.ucsf.edu/pulmonary_NIPLH	https://giving.ucsf.edu/fund/the-nina-ireland-fund
makeagift.ucsf.edu/shenfund	https://giving.ucsf.edu/fund/clara-shen-teaching-fund
makeagift.ucsf.edu/sustaining	https://giving.ucsf.edu/fund/01t8Z00000BdU7LQAV?appealCode=11SWELS&donationType=monthly&utm_medium=print&utm_source=ASGVANITY&utm_campaign=ASGGP
makeagift.ucsf.edu/centerforgeriatriccare	https://giving.ucsf.edu/fund/other?giftComments=Center for Geriatric Care Fund (B3270)
makeagift.ucsf.edu/pedsneuroblastoma	https://donate.ucsfbenioffchildrens.org/fund/01t8Z00000BdTnwQAF
makeagift.ucsf.edu/childlifeservices	https://donate.ucsfbenioffchildrens.org/fund/01t8Z00000BdTp3QAF
makeagift.ucsf.edu/dubois	https://donate.ucsfbenioffchildrens.org/fund/01t8Z00000AdaAzQAJ?giftComments=Early Phase Clinical Trials (Steve DuBois Pediatric Oncology Research) (B3331)
makeagift.ucsf.edu/pedhemonc	https://donate.ucsfbenioffchildrens.org/fund/01t8Z00000AdaAzQAJ?giftComments=General Pediatric Oncology Research Fund (B0514)
makeagift.ucsf.edu/goldsby	https://donate.ucsfbenioffchildrens.org/fund/01t8Z00000AdaAzQAJ?giftComments=Late Effects Research (Survivors of Childhood Cancer Program) (B1896)
makeagift.ucsf.edu/pedsleukemia	https://donate.ucsfbenioffchildrens.org/fund/01t8Z00000AdaAzQAJ?giftComments=Leukemia Research (B2072)
makeagift.ucsf.edu/pedneuroblastoma	https://donate.ucsfbenioffchildrens.org/fund/01t8Z00000BdTnwQAF
makeagift.ucsf.edu/pediatricdialysis	https://donate.ucsfbenioffchildrens.org/fund/01t8Z00000AdaAzQAJ?giftComments=Pediatric Dialysis Unit (ID7013521)
makeagift.ucsf.edu/mcaninch	https://giving.ucsf.edu/fund/other?giftComments=Jack McAninch, MD Lectureship Endowment Fund (S8018)
makeagift.ucsf.edu/wegoforgood	https://giving.ucsf.edu/fund/other?giftComments=We Go for Good (B2694)
makeagift.ucsf.edu/madisonclinic	https://giving.ucsf.edu/fund/01t8Z00000BdTpOQAV
makeagift.ucsf.edu/krevans	https://giving.ucsf.edu/fund/other?giftComments=Krevans Scholarship (U5008)
makeagift.ucsf.edu/khrc	https://giving.ucsf.edu/fund/other?giftComments=KHRC (ID7027748)
makeagift.ucsf.edu/postbac	https://giving.ucsf.edu/fund/01t8Z00000BdU2QQAV?appealCode=MEDED
makeagift.ucsf.edu/SeniorClassGift	https://giving.ucsf.edu/fund/other?giftComments=SOM Senior Class Gift Fund (B7209)
makeagift.ucsf.edu/PRIDE	https://giving.ucsf.edu/fund/other?giftComments=The PRIDE Study Fund B3249
makeagift.ucsf.edu/pledgepayment	https://giving.ucsf.edu/fund/01t8Z00000BdU7LQAV
makeagift.ucsf.edu/Home	https://giving.ucsf.edu/fund/01t8Z00000BdU7LQAV
makeagift.ucsf.edu/HEAL	https://giving.ucsf.edu/fund/01t8Z00000BdU3aQAF
makeagift.ucsf.edu/supportpece	https://donate.ucsfbenioffchildrens.org/fund/01t8Z00000BdToDQAV?appealCode=KPEC8
makeagift.ucsf.edu/emergencymedicine	https://giving.ucsf.edu/fund/01t8Z00000BdTwEQAV
makeagift.ucsf.edu/EMresidency	https://giving.ucsf.edu/fund/01t8Z00000BdTuyQAF
makeagift.ucsf.edu/med-future	https://giving.ucsf.edu/fund/01t8Z00000BdU53QAF?appealCode=MLWCP
makeagift.ucsf.edu/edsresearch	https://giving.ucsf.edu/fund/01t8Z00000BdU7LQAV
makeagift.ucsf.edu/NursesWeek	https://giving.ucsf.edu/fund/01t8Z00000BdU7LQAV?appealCode=GL87S
makeagift.ucsf.edu/WomeninScience	https://giving.ucsf.edu/fund/01t8Z00000BdTqTQAV
makeagift.ucsf.edu/Raymond-Flesch	https://giving.ucsf.edu/fund/other?giftChoice=1000&giftComments=Raymod-Flesh Research Fund zzz7031506-SFFDN
makeagift.ucsf.edu/2023	https://giving.ucsf.edu/fund/01t8Z00000BdU7LQAV?appealCode=23GTAXW
makeagift.ucsf.edu/campaign	https://giving.ucsf.edu/fund/01t8Z00000BdU7LQAV?appealCode=G9REW
makeagift.ucsf.edu/2020	https://giving.ucsf.edu/fund/01t8Z00000BdU7LQAV?appealCode=GZTXW
makeagift.ucsf.edu/Strauss	https://giving.ucsf.edu/fund/other?giftComments=Anselm Strauss Endowed Scholarship Fund (S0427)
makeagift.ucsf.edu/bt	https://giving.ucsf.edu/fund/other?giftComments=Bioengineering and Therapeutic Sciences (B0782)
makeagift.ucsf.edu/blackcentering	https://giving.ucsf.edu/fund/other?giftComments=Black Centering Midwifery Led Group Care zzz7031432-SFFDN
makeagift.ucsf.edu/brucewintroub	https://giving.ucsf.edu/fund/01t8Z00000AdaBrQAJ
makeagift.ucsf.edu/CardioFellows	https://giving.ucsf.edu/fund/other?giftComments=Cardiology Fund for Research and Fellows (B3147)
makeagift.ucsf.edu/CenterGlobalNursing	https://giving.ucsf.edu/fund/other?giftComments=Center for Global Nursingzzz7031394-SFFDN
makeagift.ucsf.edu/sanaya	https://giving.ucsf.edu/fund/other?giftComments=CICU (B3379) in memory of Sanaya Shah&tribute=2&tributeFullName=Sanaya Shah
makeagift.ucsf.edu/bhargava	https://giving.ucsf.edu/fund/01t8Z00000AdaBHQAZ
makeagift.ucsf.edu/wheeler	https://giving.ucsf.edu/fund/01t8Z00000AdaCFQAZ
makeagift.ucsf.edu/beyondthepill	https://giving.ucsf.edu/fund/other?giftComments=Dr. Harper's research fund - Beyond the Pill (B7395)
makeagift.ucsf.edu/JCRF	https://giving.ucsf.edu/fund/other?giftComments=Dr. Lena Winestone Research Fund (B8107)
makeagift.ucsf.edu/winestonelab	https://giving.ucsf.edu/fund/other?giftComments=Dr. Lena Winestone Research Fund (B8107)
makeagift.ucsf.edu/eddiechang	https://giving.ucsf.edu/fund/other?giftComments=Eddie Chang Support Fund (B3276)&utm_medium=social&utm_source=Podcast Gift Ask&utm_campaign=EddieChangPodcast
makeagift.ucsf.edu/EncephalitisandMeningitis	https://giving.ucsf.edu/fund/other?giftComments=Encephalitis and Meningitis Fund (B9257)
makeagift.ucsf.edu/endometriosis	https://giving.ucsf.edu/fund/01t8Z00000BdU0TQAV
makeagift.ucsf.edu/Estes	https://giving.ucsf.edu/fund/other?giftComments=Estes Endowed Scholarship Fund (S0462)
makeagift.ucsf.edu/rainbows	https://giving.ucsf.edu/fund/other?giftComments=Friends of IHA - Rainbows of Aging Study (B1337)&AppealCode=SONRA
makeagift.ucsf.edu/harrisonendowment	https://giving.ucsf.edu/fund/01t8Z00000BdTvsQAF
makeagift.ucsf.edu/Harrington	https://giving.ucsf.edu/fund/other?giftComments=Harrington Scholarship Fund (B7452)
